hypothesis_id,effect_hypothesis,compound,promotional_source_count,receptor_evidence_rows,receptor_genes,receptor_evidence_statuses,receptor_mechanism_status,effect_support_status,interpretation,claim_boundary
H0001,anti-inflammatory,α-pinene,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0002,anti-inflammatory,humulene,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0003,anti-inflammatory,β-caryophyllene,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0004,anti-inflammatory,β-myrcene,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0005,anti-inflammatory,linalool,9,1,GABRA/GABRB receptor complex,candidate,evidence_linked,unresolved,Terpedia receptor evidence is linked to the compound; it does not establish this effect hypothesis.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0006,anti-inflammatory,phytol,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0007,anti-inflammatory,borneol,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0008,anti-inflammatory,α-bisabolol,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0009,anti-inflammatory,ocimene,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0010,absorption,d-limonene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0011,alcohol craving reduction,humulene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0012,alertness,d-limonene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0013,analgesic,α-pinene,6,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0014,analgesic,humulene,6,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0015,analgesic,β-caryophyllene,6,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0016,analgesic,β-myrcene,6,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0017,analgesic,linalool,6,1,GABRA/GABRB receptor complex,candidate,evidence_linked,unresolved,Terpedia receptor evidence is linked to the compound; it does not establish this effect hypothesis.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0018,analgesic,borneol,6,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0019,anorectic,humulene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0020,anti-anxiety,β-caryophyllene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0021,anti-anxiety,linalool,4,1,GABRA/GABRB receptor complex,candidate,evidence_linked,unresolved,Terpedia receptor evidence is linked to the compound; it does not establish this effect hypothesis.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0022,anti-anxiety,borneol,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0023,anti-anxiety,d-limonene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0024,anti-bacterial,α-pinene,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0025,anti-bacterial,β-pinene,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0026,anti-bacterial,humulene,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0027,anti-bacterial,β-caryophyllene,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0028,anti-bacterial,β-myrcene,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0029,anti-bacterial,terpinolene,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0030,anti-bacterial,fenchol,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0031,anti-bacterial,α-bisabolol,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0032,anti-bacterial,ocimene,9,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0033,anti-coagulant,β-caryophyllene,3,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0034,anti-coagulant,linalool,3,1,GABRA/GABRB receptor complex,candidate,evidence_linked,unresolved,Terpedia receptor evidence is linked to the compound; it does not establish this effect hypothesis.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
