compound,candidate_receptor_or_family,claim_effects_in_matrix,evidence_tier,terpedia_interpretation,primary_source,pmid,doi
α-pinene,GABAA benzodiazepine-site receptor,"analgesic; anti-inflammatory; sedative; skin health",direct receptor pharmacology,"Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.",https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080
β-pinene,GABAA receptor; TRP channels,"anti-bacterial; anti-oxidant; anti-viral; cardiovascular health; memory retention",analogue-based candidate,"Plausible monoterpene receptor hypotheses, but no compound-specific receptor result was established in this first pass.",
humulene,CNR2/CB2; TRP channels,"anti-inflammatory; anti-proliferative; anti-tumor",family-level candidate,"Chemically and phenotypically plausible immune/nociceptive targets; direct target evidence for α-humulene remains unresolved here.",
β-caryophyllene,CNR2/CB2,"anti-inflammatory; analgesic; anti-anxiety; anti-depressant; anti-proliferative; neuroprotective; skin health",direct binding and functional receptor pharmacology,"Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.",https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011
caryophyllene oxide,unresolved,"anti-inflammatory; anti-fungal",phenotype-only,"A mouse sedative phenotype was reported, but a GABAA mechanism was not supported in the cited study; receptor target remains unresolved.",https://pubmed.ncbi.nlm.nih.gov/34358077/,34358077,
β-myrcene,TRPV1; odorant receptors,"anti-inflammatory; anti-microbial; anti-mutagenic; anti-proliferative; anti-tumor; anti-viral; cardiovascular health; memory retention",direct receptor pharmacology,"Myrcene activated TRPV1 in an inducible human-cell system; a later nanoparticle study is formulation-specific and does not establish free-compound pharmacology.",https://pubmed.ncbi.nlm.nih.gov/31446830/,31446830,10.1080/19336950.2019.1654347
nerolidol,TRPV1,"anti-inflammatory; anti-proliferative",direct receptor pharmacology,"Nerolidol was active in the same inducible TRPV1 screening study, but isolated-compound translational relevance and effect support remain unresolved.",https://pubmed.ncbi.nlm.nih.gov/31446830/,31446830,10.1080/19336950.2019.1654347
linalool,GABAA receptor,"anti-anxiety; analgesic; anti-coagulant; anti-depressant; anti-epileptic; anti-inflammatory; sedative",direct receptor pharmacology,"Direct/in vitro and brainstem evidence supports GABAA modulation; it does not establish any individual promotional effect or human exposure relevance.",https://pubmed.ncbi.nlm.nih.gov/28680877/,28680877,10.1016/j.neuropharm.2017.02.034
terpinolene,unresolved,"anti-bacterial; anti-fungal; anti-oxidant; anti-proliferative; anti-tumor",no compound-specific receptor evidence,"Keep as an open receptor-screening hypothesis; do not infer a target from network pharmacology alone.",
phytol,GABAA α2/α3; HTR1A,prohibits neurotransmitter degeneration; relaxation; cardiovascular health,computational plus preclinical,"Docking and mouse antidepressant-like results nominate GABAA α2/α3 and 5-HT1A, but this is not direct receptor binding evidence.",https://pubmed.ncbi.nlm.nih.gov/40116135/,40116135,
fenchol,unresolved,"anti-bacterial; anti-fungal; anti-oxidant; anti-proliferative; anti-tumor; respiratory function",no compound-specific receptor evidence,"No receptor target assigned in this first pass; prioritize identity-resolved binding or functional assays.",
borneol,GABAA receptor,"anti-inflammatory; anti-nociceptive; anti-oxidant; anti-viral; brain ischemia; neuroprotective; relaxation; sedative",direct receptor pharmacology,"Human recombinant GABAA modulation and antagonist-sensitive animal effects provide a plausible mechanism, with enantiomer and concentration qualifications.",https://pubmed.ncbi.nlm.nih.gov/15763546/,15763546,10.1016/j.bcp.2005.01.002
terpineol,CNR1/CB1; CNR2/CB2; DRD2,"anti-anxiety; anti-depressant; anti-inflammatory; analgesic; anti-oxidant; anti-proliferative; anti-tumor; neuroprotective; sedative",mechanism plus docking,"Mouse antagonist experiments and docking nominate CB1, CB2, and D2; direct ligand-receptor binding remains unresolved.",https://pubmed.ncbi.nlm.nih.gov/32443870/,32443870,10.3390/biom10050792
α-bisabolol,GABAA receptor; CHRNA7/α7 nicotinic receptor,"anti-inflammatory; anti-nociceptive; anti-oxidant; anti-proliferative; anti-tumor; anti-anxiety",direct receptor pharmacology,"α7-nAChR inhibition is directly reported; anxiolytic behavior was GABAA-antagonist sensitive, but these mechanisms should remain separate.",https://pubmed.ncbi.nlm.nih.gov/26283025/,26283025,10.1016/j.neuroscience.2015.08.019
ocimene,odorant receptors,"anti-bacterial; anti-fungal; anti-oxidant; anti-viral",sensory-only evidence,"Insect olfactory-neuron responses support odorant sensing, not a human pharmacological target for these effects.",https://pubmed.ncbi.nlm.nih.gov/11085637/
d-limonene,unresolved,"absorption; anti-bacterial; anti-coagulant; anti-inflammatory; anti-mutagenic; anti-proliferative; anti-tumor; anti-viral; anti-anxiety",no compound-specific receptor evidence,"Keep d-limonene separate from l-limonene and from unspecified limonene; receptor assignment is unresolved.",
l-limonene,unresolved,"anti-anxiety; anti-bacterial; anti-fungal; anti-microbial; anti-oxidant; anti-tumor; anti-viral; skin health",no compound-specific receptor evidence,"Keep l-limonene separate from d-limonene; receptor assignment is unresolved.",
