hypothesis_id,effect_hypothesis,compound,promotional_source_count,candidate_receptor_or_family,receptor_evidence_tier,primary_source,pmid,doi,receptor_mechanism_status,effect_support_status,uncertainty_boundary,interpretation
H0001,anti-inflammatory,α-pinene,9,GABAA benzodiazepine-site receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.
H0002,anti-inflammatory,humulene,9,CNR2/CB2; TRP channels,family-level candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Chemically and phenotypically plausible immune/nociceptive targets; direct target evidence for α-humulene remains unresolved here.
H0003,anti-inflammatory,β-caryophyllene,9,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
H0004,anti-inflammatory,β-myrcene,9,TRPV1; odorant receptors,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/31446830/,31446830,10.1080/19336950.2019.1654347,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Myrcene activated TRPV1 in an inducible human-cell system; a later nanoparticle study is formulation-specific and does not establish free-compound pharmacology.
H0005,anti-inflammatory,linalool,9,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/28680877/,28680877,10.1016/j.neuropharm.2017.02.034,evidence_linked,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct/in vitro and brainstem evidence supports GABAA modulation; it does not establish any individual promotional effect or human exposure relevance.
H0006,anti-inflammatory,phytol,9,GABAA α2/α3; HTR1A,computational plus preclinical,https://pubmed.ncbi.nlm.nih.gov/40116135/,40116135,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Docking and mouse antidepressant-like results nominate GABAA α2/α3 and 5-HT1A, but this is not direct receptor binding evidence."
H0007,anti-inflammatory,borneol,9,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/15763546/,15763546,10.1016/j.bcp.2005.01.002,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Human recombinant GABAA modulation and antagonist-sensitive animal effects provide a plausible mechanism, with enantiomer and concentration qualifications."
H0008,anti-inflammatory,α-bisabolol,9,GABAA receptor; CHRNA7/α7 nicotinic receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/26283025/,26283025,10.1016/j.neuroscience.2015.08.019,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","α7-nAChR inhibition is directly reported; anxiolytic behavior was GABAA-antagonist sensitive, but these mechanisms should remain separate."
H0009,anti-inflammatory,ocimene,9,odorant receptors,sensory-only evidence,https://pubmed.ncbi.nlm.nih.gov/11085637/,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Insect olfactory-neuron responses support odorant sensing, not a human pharmacological target for these effects."
H0010,absorption,d-limonene,1,unresolved,no compound-specific receptor evidence,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Keep d-limonene separate from l-limonene and from unspecified limonene; receptor assignment is unresolved.
H0011,alcohol craving reduction,humulene,1,CNR2/CB2; TRP channels,family-level candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Chemically and phenotypically plausible immune/nociceptive targets; direct target evidence for α-humulene remains unresolved here.
H0012,alertness,d-limonene,1,unresolved,no compound-specific receptor evidence,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Keep d-limonene separate from l-limonene and from unspecified limonene; receptor assignment is unresolved.
H0013,analgesic,α-pinene,6,GABAA benzodiazepine-site receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.
